Comment,Designator,Footprint,LCSC
INA219AxD,U5,SOIC-8_3.9x4.9mm_P1.27mm,C138706
100n,"C1,C11,C12,C14,C2,C21,C23,C25,C34,C4,C5,C8",C_0603_1608Metric,C14663
1n5,"C16,C26",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1595
D,"D1,D2",D_SMA,C22452
150k,R11,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22807
15k,R10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22809
3k3,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22978
0.1,"R12,R13,R2,R7,R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C25334
10k,"R1,R3,R4,R8",R_0603_1608Metric,C25804
15u,"L1,L2","Inductor SMD,11.6x10.1x4mm",C3002687
SS01-BBIWA-RA20-R,SW1,SW-TH_SS01-BBIWA-RA20-R,C309065
2k2,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4190
22u,"C10,C3,C35,C36,C37,C38,C39,C6,C7,C9",C_0805_2012Metric,C45783
TB6612FNG,"U1,U2",SSOP-24_5.3x8.2mm_P0.65mm,C88224
47u,"C13,C15,C17,C18,C19,C20,C22,C24,C27,C28,C29,C30,C31,C32,C33",C_1206_3216Metric,C96123
TPS5430DDAR,"U3,U4",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,C9864
XT60PW-M,J1,CONN-TH_XT60PW-M,C98732
Conn_01x05,J8,PinHeader_1x05_P2.54mm_Vertical,
left,J6,PinHeader_2x20_P2.54mm_Vertical,
Conn_01x05,J9,PinHeader_1x05_P2.54mm_Vertical,
right,J7,PinHeader_2x20_P2.54mm_Vertical,
Polyfuse,F1,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,
Screw_Terminal_01x06,J3,TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal,
Screw_Terminal_01x06,J5,TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal,
Screw_Terminal_01x06,J4,TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal,
Screw_Terminal_01x06,J2,TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal,
